bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_SeSbCl-ClSbSe_342,3.994063,0.0431927447,673.0225008672,4907.2596333625,1.7701786126,111.386008302,1.1437195548,4,0.7179857361,7.8440850917,3.9220425458,0.0003490618,1.8786583795,29.7571692716,7.8440850917,0.141
BMDS_SWTe-TeWS_334,6.686788,3.66510736610178E-05,2430.155508934,2923.2753769633,2.6780117968,100.8837700551,1.1395060646,2.6666666667,0.7302942088,33.6279233517,3.3627923352,0.0790256199,0.6792840517,58.7770787569,3.3627923352,0.611
BMDS_ClSbTe-ClSbTe_10,4.425216,0.0231237812,1877.3045135933,4451.5288854188,1.7614560931,70.116040921,1.1712308197,4,0.6630663132,6.2978479869,4.1985653246,0.0495199787,1.429611493,29.2788813362,4.1985653246,0.127
BMDS_BiMoAs-AsMoBi_257,25.331073,1.21683751549737E-05,3537.8844809073,3073.7400031369,3.9845808347,185.0086379924,1.1104548984,2,0.7876560002,29.2118902093,3.2457655788,1.6293743206,1.0678568754,69.2392710988,3.2457655788,4.155
BMDS_BrBiTe-BrBiTe_229,4.482631,1.09103190595991E-05,2089.5977480433,4247.4351975482,2.28894623,78.2177495069,1.1368879751,4,0.7303883838,6.3419796897,4.2279864598,0.0522579126,1.4290594234,45.2004842191,6.3419796897,0.063
BMDS_SAsCl-ClAsS_140,3.884241,0.040222206,626.44599009,4567.6528135232,1.2055081211,56.2195119312,1.1750435421,4,0.6605539536,7.3012353157,3.6506176579,0.000324905,1.7486458581,19.3335126634,3.6506176579,0.136
BMDS_SbMoAs-SbMoAs_184,22.956262,1.98930877506391E-05,3148.5623954489,2812.5418182018,3.7148341828,159.4984411221,1.1071849933,2,0.7914971136,28.4254647544,3.1583849727,1.1764984023,0.8464471727,56.5663566664,1.5791924864,6.297
BMDS_Ti2Te2-Ti2Te2_612,23.093362,3.55543249477525E-05,2614.3354158265,3144.8285182215,3.6050795592,224.2946832276,1.2060062916,2,0.793993578,43.4118741731,3.6176561811,0.0850149203,0.7307665486,45.6937382773,3.6176561811,0.301
BMDS_ClTiBr-BrTiCl_249,6.257789,5.06696881198376E-05,898.5257923979,3853.3843143507,2.2494944358,267.0561986435,1.1412306086,3.3333333333,0.7213083498,43.9459567388,3.3804582107,0.004124159,1.6023371919,27.6465767272,0,0.397
BMDS_PbO2-PbO2_700,2.323203,0.0397341151,194.800724153,4670.596194611,2.1435132059,148.2333977588,1.2010143457,3.3333333333,0.5979713088,7.10951548,3.55475774,0.0009505422,3.2632676053,32.4484457385,14.2190309601,0.248
BMDS_SSbI-ISbS_354,4.739977,2.986160250036E-05,1538.6202620224,4010.7139000217,2.0957029415,40.1707758729,1.1466996711,4,0.7274847728,7.9546090837,3.9773045419,0.0178580974,0.851143172,34.3352787606,0,0.116
