bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_NbSe2-NbSe2_412,2.4341797263,679.5193226695,2.6666666667,55.7554316036,10.5165556661,100.7082483341,3.34151,7861.5158561144,39.7413215891,1.1185933465,1.9319257050664E-05,48.5992219573,2.328063
BMDS_SeAsCl-ClAsSe_159,1.3068669556,1310.7544470492,4,63.8476378219,12.2159744659,54.8338536588,3.08991,3449.274739742,24.2690292172,1.7990010892,0.0413804728,148.233934008,1.139646
BMDS_PbCl2-PbCl2_529,2.1671706162,1459.1679150784,4,71.0769471528,15.1389543613,61.0425546136,3.40039,1793.6894763546,30.506421862,2.002697511,0.0460441815,718.0736730973,0.712088
BMDS_Ru2Se2-Ru2Se2_651,2.003661006,776.9348317006,2,63.7484990113,15.8743905663,115.1457263392,2.77449,8418.7861506835,38.4622628802,1.2789542614,3.27308699611287E-05,88.0924570713,2.023713
BMDS_SbHfBi-BiHfSb_84,4.4841700117,302.544052877,2,49.7605350127,9.5307960966,159.2337120405,4.94831,6507.3510320556,83.2889276706,0.4047190181,2.6432796198725E-05,101.1479077833,3.088602
BMDS_BiTaAs-AsTaBi_258,3.5752950845,268.0662019096,2,51.5511926749,10.2286679359,103.1023853498,4.0005,7560.8415923216,76.0311354971,1.1306894927,0.000007499,364.3854813273,3.236515
BMDS_CdBr2-CdBr2_674,1.5661624392,1366.7002367213,3.3333333333,71.5770302657,17.7276689168,88.4186844459,3.22641,1382.7840164634,24.9808840898,1.9957360204,5.31143668707301E-05,136.8679131087,0.823584
BMDS_IBiSe-IBiSe_188,2.3567299839,1020.5443343043,4,68.7024949654,15.0143646648,128.6610360261,3.90135,432.9298129714,46.3558243762,1.113813176,1.9369939792671E-05,440.114012051,1.25284
BMDS_IBiSe-SeBiI_85,2.0897812416,833.1499525974,4,68.3610217516,15.8092744393,123.4770955388,3.64147,215.3372185175,41.1050620472,1.3714929989,2.12901857117589E-05,555.5204620344,1.234687
BMDS_ClBiSe-SeBiCl_275,1.9891755889,786.5263101101,4,64.5354921116,14.0894690358,116.5672326266,3.55947,203.2868001515,38.5400107103,1.2947433105,2.00987723245064E-05,524.4331561592,1.113755
BMDS_HfTe2-HfTe2_691,1.993034719,814.9333804934,2.6666666667,68.5538069816,18.3579553397,162.8152915812,3.44354,7640.9216339069,37.1968980624,0.8654918131,3.02022365883171E-05,221.023900628,1.160923
BMDS_SbVBi-BiVSb_265,4.3706010389,299.0295771981,2,49.1824962497,9.310204395,157.383987999,4.27012,5372.6958903151,68.8503019229,0.4000176362,4.27166374093887E-05,518.1831737702,3.154516
BMDS_ISbS-ISbS_12,1.8586970436,1011.2070146782,4,67.3865740799,14.444574718,106.7975098297,3.44933,2108.0766591338,30.4522553546,1.8827400394,0.00001905,195.0841319614,1.135432
BMDS_AgI2-AgI2_667,2.3794349615,1183.160945964,3.3333333333,68.1359623353,16.0641475773,131.8631271078,3.8272,3399.1027610203,35.5966051611,0.8577115259,6.1747213866944E-05,79.0850106828,1.491789
BMDS_BiWAs-AsWBi_96,3.3589203337,257.8023586702,2,49.5773766674,9.4605815006,99.1547533347,3.93035,8609.9377478965,77.1086385037,1.0873971282,1.16738196259387E-05,359.9925695203,3.439255
BMDS_ZrTe2-ZrTe2_471,2.7990971482,753.4760863777,2.6666666667,63.3838979077,13.5910894592,150.5367575308,3.62169,5567.2454428501,41.7290402015,0.8002217111,2.55040959206092E-05,141.348073081,1.567781
